knowledge_id,知识点描述,精讲标题,年级,学期,匹配状态
K081,多位数乘一位数（笔算乘法不进位）,多位数乘一位数（笔算乘法不进位）,3,上册,匹配
K082,多位数乘一位数（笔算乘法进位）,多位数乘一位数（笔算乘法进位）,3,上册,匹配
K083,多位数乘一位数（因数中间有0）,多位数乘一位数（因数中间有0）,3,上册,匹配
K084,多位数乘一位数（因数末尾有0）,多位数乘一位数（因数末尾有0）,3,上册,匹配
K085,长方形和正方形的认识,长方形和正方形的认识,3,上册,匹配
K086,周长的认识（周长的概念）,周长的认识（周长的概念）,3,上册,匹配
K087,长方形和正方形的周长计算,长方形和正方形的周长计算,3,上册,匹配
K088,分数的初步认识（几分之一）,分数的初步认识（几分之一）,3,上册,匹配
K089,分数的初步认识（几分之几）,分数的初步认识（几分之几）,3,上册,匹配
K090,分数的简单计算（同分母加减法）,分数的简单计算（同分母加减法）,3,上册,匹配
K091,分数的简单应用（分数与除法）,分数的简单应用（分数与除法）,3,上册,匹配
K092,数学广角——集合（重叠问题）,数学广角——集合（重叠问题）,3,上册,匹配
K093,位置与方向（东、南、西、北）,位置与方向（东、南、西、北）,3,下册,匹配
K094,位置与方向（东北、东南、西北、西南）,位置与方向（东北、东南、西北、西南）,3,下册,匹配
K095,除数是一位数的除法（口算除法）,除数是一位数的除法（口算除法）,3,下册,匹配
K096,除数是一位数的除法（笔算除法一位数）,除数是一位数的除法（笔算除法一位数）,3,下册,匹配
K097,除数是一位数的除法（笔算除法两位数）,除数是一位数的除法（笔算除法两位数）,3,下册,匹配
K098,除数是一位数的除法（商中间有0）,除数是一位数的除法（商中间有0）,3,下册,匹配
K099,除数是一位数的除法（商末尾有0）,除数是一位数的除法（商末尾有0）,3,下册,匹配
K100,复式统计表,复式统计表,3,下册,匹配
K101,两位数乘两位数（口算乘法）,两位数乘两位数（口算乘法）,3,下册,匹配
K102,两位数乘两位数（笔算乘法不进位）,两位数乘两位数（笔算乘法不进位）,3,下册,匹配
K103,两位数乘两位数（笔算乘法进位）,两位数乘两位数（笔算乘法进位）,3,下册,匹配
K104,面积和面积单位,面积和面积单位,3,下册,匹配
K105,长方形和正方形的面积计算,长方形和正方形的面积计算,3,下册,匹配
K106,面积单位间的进率（平方米、平方分米、平方厘米）,面积单位间的进率,3,下册,匹配
K107,年、月、日（年月日的认识）,年、月、日（年月日的认识）,3,下册,匹配
K108,平年和闰年,平年和闰年,3,下册,匹配
K109,24时计时法,24时计时法,3,下册,匹配
K110,小数的初步认识（一位小数）,小数的初步认识（一位小数）,3,下册,匹配
K111,小数的初步认识（两位小数）,小数的初步认识（两位小数）,3,下册,匹配
K112,简单的小数加减法（一位小数）,简单的小数加减法（一位小数）,3,下册,匹配
K113,数学广角——搭配（二）,数学广角——搭配（二）,3,下册,匹配
K114,大数的认识（亿以内数的认识）,大数的认识（亿以内数的认识）,4,上册,匹配
K115,大数的认识（亿以内数的读法）,大数的认识（亿以内数的读法）,4,上册,匹配
K116,大数的认识（亿以内数的写法）,大数的认识（亿以内数的写法）,4,上册,匹配
K117,大数的认识（亿以上数的认识）,大数的认识（亿以上数的认识）,4,上册,匹配
K118,大数的认识（近似数）,大数的认识（近似数）,4,上册,匹配
K119,计算器的使用,计算器的使用,4,上册,匹配
K120,公顷和平方千米（面积单位）,公顷和平方千米（面积单位）,4,上册,匹配
K121,角的度量（直线、射线、线段）,角的度量（直线、射线、线段）,4,上册,匹配
K122,角的度量（角的分类）,角的度量（角的分类）,4,上册,匹配
K123,角的度量（量角器量角）,角的度量（量角器量角）,4,上册,匹配
K124,角的度量（画角）,角的度量（画角）,4,上册,匹配
K125,三位数乘两位数（笔算乘法）,三位数乘两位数（笔算乘法）,4,上册,匹配
K126,积的变化规律,积的变化规律,4,上册,匹配
K127,单价、数量、总价（数量关系）,单价、数量、总价（数量关系）,4,上册,匹配
K128,速度、时间、路程（数量关系）,速度、时间、路程（数量关系）,4,上册,匹配
K129,平行四边形和梯形（平行与垂直）,平行四边形和梯形（平行与垂直）,4,上册,匹配
K130,平行四边形和梯形（平行四边形）,平行四边形和梯形（平行四边形）,4,上册,匹配
K131,平行四边形和梯形（梯形）,平行四边形和梯形（梯形）,4,上册,匹配
K132,除数是两位数的除法（口算除法）,除数是两位数的除法（口算除法）,4,上册,匹配
K133,除数是两位数的除法（笔算除法试商）,除数是两位数的除法（笔算除法试商）,4,上册,匹配
K134,除数是两位数的除法（商是一位数）,除数是两位数的除法（商是一位数）,4,上册,匹配
K135,除数是两位数的除法（商是两位数）,除数是两位数的除法（商是两位数）,4,上册,匹配
K136,商的变化规律,商的变化规律,4,上册,匹配
K137,条形统计图（纵向条形图）,条形统计图（纵向条形图）,4,上册,匹配
K138,条形统计图（横向条形图）,条形统计图（横向条形图）,4,上册,匹配
K139,数学广角——优化（沏茶问题）,数学广角——优化（沏茶问题）,4,上册,匹配
K140,数学广角——优化（烙饼问题）,数学广角——优化（烙饼问题）,4,上册,匹配
K141,四则运算（加、减法的意义）,四则运算（加、减法的意义）,4,下册,匹配
K142,四则运算（乘、除法的意义）,四则运算（乘、除法的意义）,4,下册,匹配
K143,四则运算（含有括号的混合运算）,四则运算（含有括号的混合运算）,4,下册,匹配
K144,观察物体（二）（从不同方向观察立体图形）,观察物体（二）（从不同方向观察立体图形）,4,下册,匹配
K145,运算定律（加法交换律）,运算定律（加法交换律）,4,下册,匹配
K146,运算定律（加法结合律）,运算定律（加法结合律）,4,下册,匹配
K147,运算定律（乘法交换律）,运算定律（乘法交换律）,4,下册,匹配
K148,运算定律（乘法结合律）,运算定律（乘法结合律）,4,下册,匹配
K149,运算定律（乘法分配律）,运算定律（乘法分配律）,4,下册,匹配
K150,小数的意义和性质（小数的意义）,小数的意义和性质（小数的意义）,4,下册,匹配
K151,小数的意义和性质（小数的读法和写法）,小数的意义和性质（小数的读法和写法）,4,下册,匹配
K152,小数的意义和性质（小数的性质）,小数的意义和性质（小数的性质）,4,下册,匹配
K153,小数的意义和性质（小数的大小比较）,小数的意义和性质（小数的大小比较）,4,下册,匹配
K154,小数的意义和性质（小数点移动引起小数大小变化）,小数的意义和性质（小数点移动引起小数大小变化）,4,下册,匹配
K155,小数的意义和性质（小数与单位换算）,小数的意义和性质（小数与单位换算）,4,下册,匹配
K156,小数的意义和性质（小数的近似数）,小数的意义和性质（小数的近似数）,4,下册,匹配
K157,三角形（三角形的特性）,三角形（三角形的特性）,4,下册,匹配
K158,三角形（三角形的分类）,三角形（三角形的分类）,4,下册,匹配
K159,三角形（三角形的内角和）,三角形（三角形的内角和）,4,下册,匹配
K160,小数的加减法（笔算小数加减法）,小数的加减法（笔算小数加减法）,4,下册,匹配
K161,小数的加减法（小数加减混合运算）,小数的加减法（小数加减混合运算）,4,下册,匹配
K162,图形的运动（二）（轴对称图形）,图形的运动（二）（轴对称图形）,4,下册,匹配
K163,图形的运动（二）（平移）,图形的运动（二）（平移）,4,下册,匹配
K164,平均数（平均数的意义和求法）,平均数（平均数的意义和求法）,4,下册,匹配
K165,数学广角——鸡兔同笼,数学广角——鸡兔同笼,4,下册,匹配
K166,小数乘法（小数乘整数）,小数乘法（小数乘整数）,5,上册,匹配
K167,小数乘法（小数乘小数）,小数乘法（小数乘小数）,5,上册,匹配
K168,小数乘法（积的近似数）,小数乘法（积的近似数）,5,上册,匹配
K169,小数乘法（连乘、乘加、乘减）,小数除法（除数是整数）,5,上册,匹配
K170,小数乘法（整数乘法运算定律推广到小数）,小数除法（除数是小数）,5,上册,匹配
K171,小数除法（小数除以整数）,小数除法（商的近似数）,5,上册,匹配
K172,小数除法（一个数除以小数）,小数除法（循环小数）,5,上册,匹配
K173,小数除法（商的近似数）,可能性（可能性的大小）,5,上册,匹配
K174,小数除法（循环小数）,简易方程（用字母表示数）,5,上册,匹配
K175,小数除法（用计算器探索规律）,简易方程（方程的意义）,5,上册,匹配
K176,观察物体（三）（摆几何体）,简易方程（等式的性质）,5,上册,匹配
K177,简易方程（用字母表示数）,简易方程（解方程）,5,上册,匹配
K178,简易方程（用字母表示运算定律和公式）,简易方程（列方程解决问题）,5,上册,匹配
K179,简易方程（方程的意义）,多边形的面积（平行四边形的面积）,5,上册,匹配
K180,简易方程（等式的性质）,多边形的面积（三角形的面积）,5,上册,匹配
K181,简易方程（解方程）,多边形的面积（梯形的面积）,5,上册,匹配
K182,简易方程（列方程解决问题）,多边形的面积（组合图形的面积）,5,上册,匹配
K183,多边形的面积（平行四边形的面积）,植树问题（两端都栽）,5,上册,匹配
K184,多边形的面积（三角形的面积）,植树问题（两端都不栽）,5,上册,匹配
K185,多边形的面积（梯形的面积）,植树问题（只栽一端）,5,上册,匹配
K186,多边形的面积（组合图形的面积）,小数乘除法（小数乘整数）,5,上册,匹配
K187,统计与可能性（可能性的大小）,小数乘除法（小数乘小数）,5,上册,匹配
K188,数学广角——植树问题（两端都栽）,小数乘除法（小数除以整数）,5,上册,匹配
K189,数学广角——植树问题（两端不栽）,小数乘除法（一个数除以小数）,5,上册,匹配
K190,数学广角——植树问题（一端栽一端不栽）,数学广角——植树问题,5,上册,匹配
K191,图形的变换（平移）,图形的变换（平移）,5,下册,匹配
K192,图形的变换（旋转）,图形的变换（旋转）,5,下册,匹配
K193,因数与倍数（因数和倍数的意义）,因数与倍数（因数和倍数的意义）,5,下册,匹配
K194,因数与倍数（2、5的倍数的特征）,因数与倍数（2、5的倍数的特征）,5,下册,匹配
K195,因数与倍数（3的倍数的特征）,因数与倍数（3的倍数的特征）,5,下册,匹配
K196,因数与倍数（质数和合数）,因数与倍数（质数和合数）,5,下册,匹配
K197,长方体和正方体（长方体和正方体的认识）,长方体和正方体（长方体和正方体的认识）,5,下册,匹配
K198,长方体和正方体（长方体和正方体的表面积）,长方体和正方体（长方体和正方体的表面积）,5,下册,匹配
K199,长方体和正方体（长方体和正方体的体积）,长方体和正方体（长方体和正方体的体积）,5,下册,匹配
K200,长方体和正方体（体积单位间的进率）,长方体和正方体（体积单位间的进率）,5,下册,匹配
K201,长方体和正方体（容积和容积单位）,长方体和正方体（容积和容积单位）,5,下册,匹配
K202,分数的意义和性质（分数的意义）,分数的意义和性质（分数的意义）,5,下册,匹配
K203,分数的意义和性质（分数与除法）,分数的意义和性质（分数与除法）,5,下册,匹配
K204,分数的意义和性质（真分数和假分数）,分数的意义和性质（真分数和假分数）,5,下册,匹配
K205,分数的意义和性质（分数的基本性质）,分数的意义和性质（分数的基本性质）,5,下册,匹配
K206,分数的意义和性质（约分）,分数的意义和性质（约分）,5,下册,匹配
K207,分数的意义和性质（通分）,分数的意义和性质（通分）,5,下册,匹配
K208,分数的意义和性质（分数和小数的互化）,分数的意义和性质（分数和小数的互化）,5,下册,匹配
K209,分数的加减法（同分母分数加减法）,分数的加减法（同分母分数加减法）,5,下册,匹配
K210,分数的加减法（异分母分数加减法）,分数的加减法（异分母分数加减法）,5,下册,匹配
K211,分数的加减法（分数加减混合运算）,分数的加减法（分数加减混合运算）,5,下册,匹配
K212,折线统计图（单式折线统计图）,折线统计图（单式折线统计图）,5,下册,匹配
K213,折线统计图（复式折线统计图）,折线统计图（复式折线统计图）,5,下册,匹配
K214,数学广角——找次品,数学广角——找次品,5,下册,匹配
K215,位置（用数对确定位置）,位置（用数对确定位置）,6,上册,匹配
K216,分数乘法（分数乘整数）,分数乘法（分数乘整数）,6,上册,匹配
K217,分数乘法（分数乘分数）,分数乘法（分数乘分数）,6,上册,匹配
K218,分数乘法（分数乘小数）,分数乘法（分数乘法应用题）,6,上册,匹配
K219,分数乘法（倒数的认识）,位置与方向（根据方向和距离确定位置）,6,上册,匹配
K220,分数除法（分数除以整数）,分数除法（倒数的认识）,6,上册,匹配
K221,分数除法（一个数除以分数）,分数除法（分数除以整数）,6,上册,匹配
K222,分数除法（分数混合运算）,分数除法（一个数除以分数）,6,上册,匹配
K223,比（比的意义）,分数除法（分数除法应用题）,6,上册,匹配
K224,比（比的基本性质）,比（比的意义）,6,上册,匹配
K225,比（比的应用）,比（比的基本性质）,6,上册,匹配
K226,圆（圆的认识）,比（化简比）,6,上册,匹配
K227,圆（圆的周长）,比（按比分配）,6,上册,匹配
K228,圆（圆的面积）,圆（圆的认识）,6,上册,匹配
K229,百分数（百分数的意义和读写）,圆（圆的周长）,6,上册,匹配
K230,百分数（百分数与小数的互化）,圆（圆的面积）,6,上册,匹配
K231,百分数（百分数与分数的互化）,百分数（百分数的意义）,6,上册,匹配
K232,百分数（百分数的应用）,百分数（百分数与小数互化）,6,上册,匹配
K233,百分数（折扣、成数）,百分数（百分数与分数互化）,6,上册,匹配
K234,百分数（税率、利率）,百分数（百分数应用题）,6,上册,匹配
K235,数学广角——数与形,数学广角——数与形,6,上册,匹配
K236,负数（负数的意义）,负数（负数的意义）,6,下册,匹配
K237,负数（正数和负数的比较）,负数（正数和负数的比较）,6,下册,匹配
K238,圆柱（圆柱的认识）,圆柱（圆柱的认识）,6,下册,匹配
K239,圆柱（圆柱的表面积）,圆柱（圆柱的表面积）,6,下册,匹配
K240,圆柱（圆柱的体积）,圆柱（圆柱的体积）,6,下册,匹配
K241,圆锥（圆锥的认识）,圆锥（圆锥的认识）,6,下册,匹配
K242,圆锥（圆锥的体积）,圆锥（圆锥的体积）,6,下册,匹配
K243,比例（比例的意义）,比例（比例的意义）,6,下册,匹配
K244,比例（比例的基本性质）,比例（比例的基本性质）,6,下册,匹配
K245,比例（解比例）,比例（解比例）,6,下册,匹配
K246,比例（正比例和反比例的意义）,比例（正比例和反比例的意义）,6,下册,匹配
K247,比例（比例尺）,比例（比例尺）,6,下册,匹配
K248,比例（图形的放大与缩小）,比例（图形的放大与缩小）,6,下册,匹配
K249,比例（用比例解决问题）,比例（用比例解决问题）,6,下册,匹配
K250,扇形统计图,扇形统计图,6,下册,匹配
K251,数学广角——鸽巢问题,数学广角——鸽巢问题,6,下册,匹配
K252,整理和复习（数与代数）,整理和复习（数与代数）,6,下册,匹配
K253,整理和复习（图形与几何）,整理和复习（图形与几何）,6,下册,匹配
K254,整理和复习（统计与概率）,整理和复习（统计与概率）,6,下册,匹配
K255,整理和复习（数学思考）,整理和复习（数学思考）,6,下册,匹配
