knowledge_point_id,grade,semester,description,version,created_at
K117,4,上册,大数的认识（亿以上数的认识）,1.0,2026-07-06
K118,4,上册,大数的认识（近似数）,1.0,2026-07-06
K119,4,上册,计算器的使用,1.0,2026-07-06
K120,4,上册,公顷和平方千米（面积单位）,1.0,2026-07-06
K121,4,上册,角的度量（直线、射线、线段）,1.0,2026-07-06
K122,4,上册,角的度量（角的分类）,1.0,2026-07-06
K123,4,上册,角的度量（量角器量角）,1.0,2026-07-06
K124,4,上册,角的度量（画角）,1.0,2026-07-06
K125,4,上册,三位数乘两位数（笔算乘法）,1.0,2026-07-06
K126,4,上册,积的变化规律,1.0,2026-07-06
K127,4,上册,单价、数量、总价（数量关系）,1.0,2026-07-06
K128,4,上册,速度、时间、路程（数量关系）,1.0,2026-07-06
K129,4,上册,平行四边形和梯形（平行与垂直）,1.0,2026-07-06
K130,4,上册,平行四边形和梯形（平行四边形）,1.0,2026-07-06
K131,4,上册,平行四边形和梯形（梯形）,1.0,2026-07-06
K132,4,上册,除数是两位数的除法（口算除法）,1.0,2026-07-06
K133,4,上册,除数是两位数的除法（笔算除法试商）,1.0,2026-07-06
K134,4,上册,除数是两位数的除法（商是一位数）,1.0,2026-07-06
K135,4,上册,除数是两位数的除法（商是两位数）,1.0,2026-07-06
K136,4,上册,商的变化规律,1.0,2026-07-06
K137,4,上册,条形统计图（纵向条形图）,1.0,2026-07-06
K138,4,上册,条形统计图（横向条形图）,1.0,2026-07-06
K139,4,上册,数学广角——优化（沏茶问题）,1.0,2026-07-06
K140,4,上册,数学广角——优化（烙饼问题）,1.0,2026-07-06
K141,4,下册,四则运算（加、减法的意义）,1.0,2026-07-06
K142,4,下册,四则运算（乘、除法的意义）,1.0,2026-07-06
K143,4,下册,四则运算（含有括号的混合运算）,1.0,2026-07-06
K144,4,下册,观察物体（二）（从不同方向观察立体图形）,1.0,2026-07-06
K145,4,下册,运算定律（加法交换律）,1.0,2026-07-06
K146,4,下册,运算定律（加法结合律）,1.0,2026-07-06
K147,4,下册,运算定律（乘法交换律）,1.0,2026-07-06
K148,4,下册,运算定律（乘法结合律）,1.0,2026-07-06
K149,4,下册,运算定律（乘法分配律）,1.0,2026-07-06
K150,4,下册,小数的意义和性质（小数的意义）,1.0,2026-07-06
K151,4,下册,小数的意义和性质（小数的读法和写法）,1.0,2026-07-06
K152,4,下册,小数的意义和性质（小数的性质）,1.0,2026-07-06
K153,4,下册,小数的意义和性质（小数的大小比较）,1.0,2026-07-06
K154,4,下册,小数的意义和性质（小数点移动引起小数大小变化）,1.0,2026-07-06
K155,4,下册,小数的意义和性质（小数与单位换算）,1.0,2026-07-06
K156,4,下册,小数的意义和性质（小数的近似数）,1.0,2026-07-06
K157,4,下册,三角形（三角形的特性）,1.0,2026-07-06
K158,4,下册,三角形（三角形的分类）,1.0,2026-07-06
K159,4,下册,三角形（三角形的内角和）,1.0,2026-07-06
K160,4,下册,小数的加减法（笔算小数加减法）,1.0,2026-07-06
K161,4,下册,小数的加减法（小数加减混合运算）,1.0,2026-07-06
K162,4,下册,图形的运动（二）（轴对称图形）,1.0,2026-07-06
K163,4,下册,图形的运动（二）（平移）,1.0,2026-07-06
K164,4,下册,平均数（平均数的意义和求法）,1.0,2026-07-06
K165,4,下册,数学广角——鸡兔同笼,1.0,2026-07-06
K166,5,上册,小数乘法（小数乘整数）,1.0,2026-07-06
K167,5,上册,小数乘法（小数乘小数）,1.0,2026-07-06
K168,5,上册,小数乘法（积的近似数）,1.0,2026-07-06
K169,5,上册,小数乘法（连乘、乘加、乘减）,1.0,2026-07-06
K170,5,上册,小数乘法（整数乘法运算定律推广到小数）,1.0,2026-07-06
K171,5,上册,小数除法（小数除以整数）,1.0,2026-07-06
K172,5,上册,小数除法（一个数除以小数）,1.0,2026-07-06
K173,5,上册,小数除法（商的近似数）,1.0,2026-07-06
K174,5,上册,小数除法（循环小数）,1.0,2026-07-06
K175,5,上册,小数除法（用计算器探索规律）,1.0,2026-07-06
K176,5,上册,观察物体（三）（摆几何体）,1.0,2026-07-06
K177,5,上册,简易方程（用字母表示数）,1.0,2026-07-06
K178,5,上册,简易方程（用字母表示运算定律和公式）,1.0,2026-07-06
K179,5,上册,简易方程（方程的意义）,1.0,2026-07-06
K180,5,上册,简易方程（等式的性质）,1.0,2026-07-06
K181,5,上册,简易方程（解方程）,1.0,2026-07-06
K182,5,上册,简易方程（列方程解决问题）,1.0,2026-07-06
K183,5,上册,多边形的面积（平行四边形的面积）,1.0,2026-07-06
K184,5,上册,多边形的面积（三角形的面积）,1.0,2026-07-06
K185,5,上册,多边形的面积（梯形的面积）,1.0,2026-07-06
K186,5,上册,多边形的面积（组合图形的面积）,1.0,2026-07-06
K187,5,上册,统计与可能性（可能性的大小）,1.0,2026-07-06
K188,5,上册,数学广角——植树问题（两端都栽）,1.0,2026-07-06
K189,5,上册,数学广角——植树问题（两端不栽）,1.0,2026-07-06
K190,5,上册,数学广角——植树问题（一端栽一端不栽）,1.0,2026-07-06
K191,5,下册,图形的变换（平移）,1.0,2026-07-06
K192,5,下册,图形的变换（旋转）,1.0,2026-07-06
K193,5,下册,因数与倍数（因数和倍数的意义）,1.0,2026-07-06
K194,5,下册,因数与倍数（2、5的倍数的特征）,1.0,2026-07-06
K195,5,下册,因数与倍数（3的倍数的特征）,1.0,2026-07-06
K196,5,下册,因数与倍数（质数和合数）,1.0,2026-07-06
K197,5,下册,长方体和正方体（长方体和正方体的认识）,1.0,2026-07-06
K198,5,下册,长方体和正方体（长方体和正方体的表面积）,1.0,2026-07-06
K199,5,下册,长方体和正方体（长方体和正方体的体积）,1.0,2026-07-06
K200,5,下册,长方体和正方体（体积单位间的进率）,1.0,2026-07-06
K201,5,下册,长方体和正方体（容积和容积单位）,1.0,2026-07-06
K202,5,下册,分数的意义和性质（分数的意义）,1.0,2026-07-06
K203,5,下册,分数的意义和性质（分数与除法）,1.0,2026-07-06
K204,5,下册,分数的意义和性质（真分数和假分数）,1.0,2026-07-06
K205,5,下册,分数的意义和性质（分数的基本性质）,1.0,2026-07-06
K206,5,下册,分数的意义和性质（约分）,1.0,2026-07-06
K207,5,下册,分数的意义和性质（通分）,1.0,2026-07-06
K208,5,下册,分数的意义和性质（分数和小数的互化）,1.0,2026-07-06
K209,5,下册,分数的加减法（同分母分数加减法）,1.0,2026-07-06
K210,5,下册,分数的加减法（异分母分数加减法）,1.0,2026-07-06
K211,5,下册,分数的加减法（分数加减混合运算）,1.0,2026-07-06
K212,5,下册,折线统计图（单式折线统计图）,1.0,2026-07-06
K213,5,下册,折线统计图（复式折线统计图）,1.0,2026-07-06
K214,5,下册,数学广角——找次品,1.0,2026-07-06
K215,6,上册,位置（用数对确定位置）,1.0,2026-07-06
K216,6,上册,分数乘法（分数乘整数）,1.0,2026-07-06
K217,6,上册,分数乘法（分数乘分数）,1.0,2026-07-06
K218,6,上册,分数乘法（分数乘小数）,1.0,2026-07-06
K219,6,上册,分数乘法（倒数的认识）,1.0,2026-07-06
K220,6,上册,分数除法（分数除以整数）,1.0,2026-07-06
K221,6,上册,分数除法（一个数除以分数）,1.0,2026-07-06
K222,6,上册,分数除法（分数混合运算）,1.0,2026-07-06
K223,6,上册,比（比的意义）,1.0,2026-07-06
K224,6,上册,比（比的基本性质）,1.0,2026-07-06
K225,6,上册,比（比的应用）,1.0,2026-07-06
K226,6,上册,圆（圆的认识）,1.0,2026-07-06
K227,6,上册,圆（圆的周长）,1.0,2026-07-06
K228,6,上册,圆（圆的面积）,1.0,2026-07-06
K229,6,上册,百分数（百分数的意义和读写）,1.0,2026-07-06
K230,6,上册,百分数（百分数与小数的互化）,1.0,2026-07-06
K231,6,上册,百分数（百分数与分数的互化）,1.0,2026-07-06
K232,6,上册,百分数（百分数的应用）,1.0,2026-07-06
K233,6,上册,百分数（折扣、成数）,1.0,2026-07-06
K234,6,上册,百分数（税率、利率）,1.0,2026-07-06
K235,6,上册,数学广角——数与形,1.0,2026-07-06
K236,6,下册,负数（负数的意义）,1.0,2026-07-06
K237,6,下册,负数（正数和负数的比较）,1.0,2026-07-06
K238,6,下册,圆柱（圆柱的认识）,1.0,2026-07-06
K239,6,下册,圆柱（圆柱的表面积）,1.0,2026-07-06
K240,6,下册,圆柱（圆柱的体积）,1.0,2026-07-06
K241,6,下册,圆锥（圆锥的认识）,1.0,2026-07-06
K242,6,下册,圆锥（圆锥的体积）,1.0,2026-07-06
K243,6,下册,比例（比例的意义）,1.0,2026-07-06
K244,6,下册,比例（比例的基本性质）,1.0,2026-07-06
K245,6,下册,比例（解比例）,1.0,2026-07-06
K246,6,下册,比例（正比例和反比例的意义）,1.0,2026-07-06
K247,6,下册,比例（比例尺）,1.0,2026-07-06
K248,6,下册,比例（图形的放大与缩小）,1.0,2026-07-06
K249,6,下册,比例（用比例解决问题）,1.0,2026-07-06
K250,6,下册,扇形统计图,1.0,2026-07-06
K251,6,下册,数学广角——鸽巢问题,1.0,2026-07-06
K252,6,下册,整理和复习（数与代数）,1.0,2026-07-06
K253,6,下册,整理和复习（图形与几何）,1.0,2026-07-06
K254,6,下册,整理和复习（统计与概率）,1.0,2026-07-06
K255,6,下册,整理和复习（数学思考）,1.0,2026-07-06
